G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,avg,
1,1,8,2,6,7,4,4,10,1,3,2,2,1,1,4,3,1,6,2,2,2,1,2,1,3,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,,,,,,2.325581395,44
1,1,8,2,6,7,4,4,10,1,3,2,3,1,1,2,3,1,6,1,2,2,2,1,2,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,,,,2.222222222,45
1,1,9,2,6,7,4,4,13,1,2,2,2,1,4,3,1,6,2,1,2,2,1,2,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,,,,,,,,2.43902439,41
1,1,9,2,6,7,1,4,13,1,2,3,2,1,2,3,1,3,6,1,2,2,2,1,2,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,,,,,,2.325581395,43
1,1,9,2,6,3,1,4,4,13,1,2,3,2,1,2,3,1,3,6,1,2,1,2,2,1,2,1,3,1,1,1,1,3,1,1,2,1,1,1,1,1,1,,,,,,2.325581395,43
1,1,2,2,7,6,3,1,2,4,13,1,2,3,2,1,2,3,1,2,3,6,1,2,1,2,2,1,2,1,3,1,1,1,1,3,1,1,2,1,1,1,1,1,1,,,,2.222222222,45
1,1,2,2,7,6,3,1,2,4,13,1,2,2,2,1,2,3,1,2,3,6,1,2,1,2,2,1,2,1,3,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,,,2.173913043,46
1,1,2,2,7,5,1,1,4,4,13,1,2,2,2,2,1,2,3,1,3,6,2,1,1,2,2,1,2,1,3,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,,2.127659574,47
1,1,2,2,7,5,1,1,4,4,8,1,5,2,3,2,2,1,2,3,1,3,6,1,1,1,2,2,1,2,1,3,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2.083333333,48
1,1,2,2,7,5,1,1,4,4,8,1,5,2,2,2,1,2,3,1,3,6,2,1,1,2,2,1,2,1,4,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,,2.106382979,47
1,1,2,2,7,5,1,1,4,4,8,1,5,2,2,2,1,2,3,1,3,6,2,1,1,2,2,1,2,2,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,,,2.152173913,46
3,1,2,2,7,5,1,1,4,4,8,1,5,2,2,1,2,3,1,3,6,2,1,1,2,2,1,2,2,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,,,,2.2,45
3,1,2,2,9,5,1,1,4,4,8,1,5,2,2,1,2,3,1,3,6,1,1,2,2,2,2,2,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,,,,,,2.302325581,43
3,1,2,2,8,5,1,1,4,4,8,1,5,2,2,1,2,3,1,3,6,1,1,1,2,2,2,2,2,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,,,,,2.25,44
3,1,2,2,8,5,1,1,4,4,8,1,5,2,2,1,2,3,1,3,6,1,1,5,2,2,2,2,2,1,1,1,1,1,4,1,2,1,1,1,1,1,,,,,,,2.357142857,42
3,1,2,2,8,5,1,1,4,3,8,1,5,2,2,1,1,3,7,1,3,6,1,1,5,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,2.414634146,41
3,1,2,2,8,5,1,4,4,10,1,5,2,2,1,1,3,7,1,3,6,1,1,5,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,2.538461538,39
3,1,2,2,8,5,1,4,4,10,1,5,3,2,1,1,3,7,1,3,6,1,5,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,2.605263158,38
3,1,3,2,8,5,1,4,4,10,1,5,3,2,1,1,3,7,1,3,6,1,5,2,2,2,2,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,2.675675676,37
3,1,3,6,8,5,1,4,10,1,5,3,2,1,1,3,7,1,3,6,1,5,2,2,2,2,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,,2.75,36
3,1,3,6,9,5,1,4,10,1,5,3,2,1,1,3,7,1,3,6,5,2,2,2,2,1,1,1,1,2,2,1,1,1,,,,,,,,,,,,,,,2.911764706,34
3,1,3,6,9,5,1,4,10,1,5,3,2,1,1,3,7,1,3,6,5,2,1,2,2,1,1,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,2.828571429,35
3,1,3,6,2,7,6,1,4,10,1,12,3,2,1,1,3,1,3,6,5,2,1,2,2,1,1,1,1,2,1,2,1,1,,,,,,,,,,,,,,,2.911764706,
3,1,3,6,2,7,6,1,4,10,1,12,3,2,1,1,3,1,3,6,5,2,1,2,2,1,1,1,1,2,1,2,1,1,,,,,,,,,,,,,,,2.911764706,
3,1,3,6,9,6,1,4,10,1,12,3,2,1,1,5,1,3,6,5,2,1,2,2,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,3.09375,
3,1,3,6,8,6,1,4,10,1,12,3,2,1,1,5,1,3,6,1,5,2,1,2,2,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,3,
3,1,3,6,8,6,1,4,10,1,12,3,2,1,1,5,1,3,8,1,5,2,1,2,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,3.09375,
3,1,3,4,8,6,1,4,10,1,12,3,2,1,1,5,1,2,3,8,1,5,2,1,2,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,3,
4,1,3,4,8,6,1,4,10,1,12,3,2,1,1,5,2,2,3,8,1,5,2,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,3.193548387,
4,1,3,4,8,6,1,4,10,6,12,3,2,1,1,5,2,2,8,1,5,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,3.413793103,
4,1,3,4,9,6,1,4,10,6,12,3,2,1,1,5,2,2,8,5,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,3.535714286,
4,1,3,4,9,6,1,4,10,6,12,3,2,1,1,5,2,2,8,5,3,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,3.666666667,
4,1,3,6,9,6,1,4,10,6,12,3,2,1,1,5,2,8,5,3,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,3.807692308,
16,1,3,7,9,3,1,4,10,6,3,2,1,1,5,2,8,7,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4.125,
16,1,3,7,9,3,1,4,10,6,3,2,1,1,5,2,8,7,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4.125,
16,1,3,6,9,3,1,4,10,6,3,2,1,1,5,2,8,7,3,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,3.96,
16,9,3,6,9,3,1,4,10,6,3,2,1,1,5,2,7,3,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4.125,
16,9,3,6,9,3,1,4,11,6,3,2,1,1,5,2,7,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.304347826,
16,9,3,7,9,3,1,10,11,3,2,1,1,5,2,7,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.714285714,
16,9,3,7,9,3,1,10,11,10,2,1,1,5,2,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,
16,9,3,7,9,3,1,10,11,10,3,1,5,2,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.210526316,
16,9,3,7,9,3,1,10,11,5,3,1,5,2,5,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,
16,9,3,6,9,3,1,10,9,5,3,1,5,2,5,3,2,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,
11,2,3,5,9,3,1,7,9,5,7,3,5,2,3,3,7,6,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4.125,
11,2,3,5,9,3,1,7,9,5,7,3,5,4,3,3,7,6,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.304347826,
11,2,3,5,14,3,1,7,9,7,3,5,4,3,3,7,6,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,
11,2,3,5,14,7,1,7,9,7,3,5,3,3,7,6,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.714285714,
11,2,3,5,14,10,1,7,9,7,3,5,3,7,6,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,
13,8,3,5,14,10,1,7,9,7,3,5,3,7,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,
13,8,3,5,14,10,1,7,9,8,3,5,3,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.823529412,
13,8,3,5,14,10,1,7,9,8,4,5,3,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1875,
13,7,3,5,14,10,1,4,8,3,8,4,5,3,7,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.210526316,
13,8,3,5,14,10,1,4,8,3,8,4,5,3,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,
13,8,3,8,14,5,1,4,8,8,4,6,5,3,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.823529412,
13,7,23,8,10,1,4,8,4,4,3,7,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1875,
13,8,23,8,3,1,4,9,4,4,2,5,3,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,
28,7,5,10,10,1,10,6,5,3,5,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,
28,7,5,10,10,1,10,6,5,3,9,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.071428571,
30,7,5,10,10,1,12,6,5,9,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.615384615,
31,7,5,10,10,1,12,6,5,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,
31,7,5,12,10,1,18,9,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
31,7,5,15,10,1,18,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,
46,7,15,1,19,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
50,7,15,1,19,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.375,
27,46,4,14,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14285714,
32,46,1,15,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,
12,46,25,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,
13,46,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75,
2,71,5,16,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,
3,77,15,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,
3,77,14,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.33333333,
58,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.66666667,
85,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,
63,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.66666667,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avgofAvg,6.940914522,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stdv,8.101159805,
